code,name
000001,平安银行
000166,申万宏源
000415,渤海金控
000562,宏源证券
000563,陕国投Ａ
000686,东北证券
000712,锦龙股份
000728,国元证券
000750,国海证券
000776,广发证券
000783,长江证券
002142,宁波银行
002500,山西证券
002673,西部证券
002736,国信证券
600000,浦发银行
600015,华夏银行
600016,民生银行
600030,中信证券
600036,招商银行
600109,国金证券
600291,西水股份
600369,西南证券
600643,爱建集团
600705,中航资本
600816,安信信托
600830,香溢融通
600837,海通证券
600958,东方证券
600999,招商证券
601009,南京银行
601099,太平洋
601166,兴业银行
601169,北京银行
601198,东兴证券
601288,农业银行
601318,中国平安
601328,交通银行
601336,新华保险
601377,兴业证券
601398,工商银行
601555,东吴证券
601601,中国太保
601628,中国人寿
601688,华泰证券
601788,光大证券
601818,光大银行
601901,方正证券
601939,建设银行
601988,中国银行
601998,中信银行
